Nombre,Tipo,Lugar,Fecha
III Trofeo Nadal de Atletismo en Pista Cuberta,PC,Ourense,04/01/2019
Torneo de Reis 2019,Pista AL,Pontevedra,05/01/2019
Xogade – Campo a Través – Fase Local Cambre 2018/2019,CT,Culleredo,11/01/2019
Control de Marcas en Pista Cuberta 2018/2019,PC,Ourense,12/01/2019
Control de Marcas Probas de Anel 2018/2019,PC,"Coruña, A",12/01/2019
Xogade – Campo a Través – Fase Clasificatoria Lugo 2018/2019,CT,Lugo,13/01/2019
IV Carreira Popular Matogrande,Ruta,Ver competiciones relacionadas,13/01/2019
XV Copa de Galicia de Clubs en Pista Cuberta,PC,Ourense,13/01/2019
II Carreira Popular Concello de Castro de Rei,Ruta,Castro de Rei,13/01/2019
XXXVI Carreira Popular San Xiao,Ruta,Ferrol,13/01/2019
Campionato Unión Mediterránea Sub23 2018/2019,PC,Marignane - Francia,19/01/2019
XXIX Campionato de España de Clubs Sub20 de Pista Cuberta – “Trofeo Antonio Ferrer”,PC,Antequera,19/01/2019
Xogade – Campo a Través – Final Comarcal Ourense 2018/2019,CT,"Pereiro de Aguiar, O",19/01/2019
XXX Campionato de Galicia de Marcha en Ruta,Marcha,A Pobra do Caramiñal,19/01/2019
I Trofeo Barbanza de Atletismo en Ruta,Ruta,"Pobra do Caramiñal, A",19/01/2019
IX Copa Deputación Lugo,Pista AL,Ver competiciones relacionadas,19/01/2019
IX Copa Deputación Lugo – 1ª Xornada,PC,Ver competiciones relacionadas,19/01/2019
Xogade – Campo a Través – Fase Zonal Santiago 2018/2019,CT,Santiago de Compostela,19/01/2019
I Liga Individual de Lanzamentos Longos – 2ª Xornada,Pista AL,Ver competiciones relacionadas,19/01/2019
XXXIV Campionato de Galicia Absoluto – Sub23 en Pista Cuberta,PC,Ourense,20/01/2019
I Cros Popular Muíño de Pedroso,CT,Narón,20/01/2019
Campionato de Galicia de 1.500 m. e 3.000 m. Sub18 – Sub20 en Pista Cuberta 2018/2019,PC,Ourense,20/01/2019
XI Campionato de España de Clubs Sub16 en Pista Cuberta,PC,Zaragoza,26/01/2019
Encontro Internacional de Probas Combinadas 2018/2019 – CZE – ESP – FRA – GBR – POL,PC,Gran Bretaña,26/01/2019
Xogade – Campo a Través – Fase Intercomarcal A Coruña 2018/2019,CT,"Coruña, A",26/01/2019
Xogade – Campo a Través – Fase Intercomarcal Ferrol 2018/2019,CT,Ferrol,26/01/2019
XXX Campionato de Galicia de Probas Combinadas en Pista Cuberta – XV Máster,PC,Lugo,26/01/2019
IX Copa Deputación Lugo – 2ª Xornada,PC,Ver competiciones relacionadas,26/01/2019
VIII Cros dos Menhires,CT,"Coruña, A",26/01/2019
Control de Marcas en Pista ao Aire Libre – A Pobra do Caramiñal 2018/2019,Pista AL,"Pobra do Caramiñal, A",26/01/2019
XLVII Campionato de Galicia Sub18 H – XXXIX Sub18 M – XIV Sub16 de Campo a Través Individual e Clubs,CT,"Rúa, A",27/01/2019
XXIII Memorial “Alejandro Lorenzo” – Campionato de Galicia de Campo a Través de Menores,CT,"Rúa, A",27/01/2019
I Campionato de Galicia de Campo a Través de Relevos Mixto,CT,"Rúa, A",27/01/2019
XXXVIII Campionato de España de Clubs “Copa de SM o Rei” en Pista Cuberta,PC,San Sebastián,02/02/2019
XXXVIII Campionato de España de Clubs “Copa SM a Raíña” en Pista Cuberta,PC,San Sebastián,02/02/2019
Xogade – Campo a Través – Campionato Provincial A Coruña 2018/2019,CT,Ferrol,02/02/2019
II Copa de Galicia de Clubs Máster en Pista Cuberta,PC,"Coruña, A",02/02/2019
IX Copa Deputación Lugo – 3ª Xornada,PC,Ver competiciones relacionadas,02/02/2019
Control de Marcas 50 m. e 50 m. valados en Pista Cuberta – A Coruña 2018/2019,PC,"Coruña, A",02/02/2019
LVI Campionato de Europa de Clubs de Campo a Través,CT,Albufeira - Portugal,03/02/2019
Carballo Trail Race 2019,Trail,Carballo,03/02/2019
Xogade – Campo a Través – Campionato Provincial Lugo 2018/2019,CT,Vilalba,03/02/2019
LXXXIV Campionato de Galicia Absoluto de Campo a Través Individual e Clubs,CT,"Pontes de García Rodríguez, As",03/02/2019
Control de Marcas en Pista Cuberta – A Coruña 2018/2019,PC,"Coruña, A",03/02/2019
XXXIII Campionato de España Sub23 en Pista Cuberta,PC,Salamanca,09/02/2019
Xogade – Campo a Través – Campionato Provincial Pontevedra 2018/2019,CT,"Porriño, O",09/02/2019
Xogade – Campo a Través – Campionato Provincial Ourense 2018/2019,CT,"Pereiro de Aguiar, O",09/02/2019
IV Trofeo de Atletismo Mazí – Cidade de Vilagarcía,Pista AL,Vilagarcía de Arousa,09/02/2019
VII Campionato de Clubs Máster en Pista Cuberta,PC,Antequera,10/02/2019
XXIV Campionato de España de Marcha en Ruta (H: 20 Km. – M: 10 Km.),Marcha,El Vendrell,10/02/2019
Campionato de España de Marcha por Federaciones Sub20 – Sub16 – 2018/2019,Marcha,El Vendrell,10/02/2019
LXXXVII Campionato de España de Marcha en Ruta 50 Km. H – M,Marcha,El Vendrell,10/02/2019
XXXIII Campionato de Galicia Máster de Campo a Través Individual e Clubs,CT,Fene,10/02/2019
